taste;Recipe;url
croatian;Baked Croatian Cottage Cheese S?truklji;https://www.yummly.com/recipe/Baked-Croatian-Cottage-Cheese-Struklji-1115442
croatian;Banana Bread;https://www.yummly.com/recipe/Banana-Bread-9188063
croatian;Brudet (Croatian Seafood Stew);https://www.yummly.com/recipe/Brudet-_Croatian-Seafood-Stew_-677425
croatian;Buhtle (Croatian jam-filled sweet rolls);https://www.yummly.com/recipe/Buhtle-_Croatian-jam-filled-sweet-rolls_-2253989
croatian;Croatian Anchovy Salad;https://www.yummly.com/recipe/Croatian-Anchovy-Salad-Recipezaar
croatian;Croatian Apple Cake;https://www.yummly.com/recipe/Croatian-Apple-Cake-2258180
croatian;Croatian Army Beans;https://www.yummly.com/recipe/Croatian-Army-Beans-Recipezaar
croatian;Croatian Bandit Kebab (Hajducki Chevap);https://www.yummly.com/recipe/Croatian-Bandit-Kebab-_hajducki-Chevap_-Recipezaar
croatian;Croatian Bean Stew With Smoked Pork Ribs;https://www.yummly.com/recipe/Croatian-Bean-Stew-With-Smoked-Pork-Ribs-1654992
croatian;Croatian Beef Soup;https://www.yummly.com/recipe/Croatian-Beef-Soup-Recipezaar
croatian;Croatian Bijela Pita or Madjarica;https://www.yummly.com/recipe/Croatian-Bijela-Pita-or-Madjarica-1516159
croatian;Croatian Boar Casserole;https://www.yummly.com/recipe/Croatian-Boar-Casserole-Food_com-125683
croatian;Croatian Chicken Soup;https://www.yummly.com/recipe/Croatian-Chicken-Soup-Recipezaar
croatian;Croatian Dawn Cake;https://www.yummly.com/recipe/Croatian-Dawn-Cake-2671698
croatian;Croatian Easter Breakfast – Punjena Jaja (Stuffed Eggs);https://www.yummly.com/recipe/Croatian-Easter-Breakfast-Punjena-Jaja-_Stuffed-Eggs_-1195568
croatian;Croatian Fritters (Fritule);https://www.yummly.com/recipe/Croatian-Fritters-_Fritule_-2080343
croatian;Croatian Lamb Peka;https://www.yummly.com/recipe/Croatian-Lamb-Peka-9138167
croatian;Croatian Lamb/Mutton Chowder (Ajngemahtes);https://www.yummly.com/recipe/Croatian-Lamb_mutton-Chowder-_ajngemahtes_-Recipezaar
croatian;Croatian Mutton Soup;https://www.yummly.com/recipe/Croatian-Mutton-Soup-Recipezaar
